Timestamp,Milliseconds,centimeters
2019-10-27 21:48:05,314001,8.0
2019-10-27 21:48:06,315002,8.0
2019-10-27 21:48:07,316001,8.0
2019-10-27 21:48:08,317001,8.0
2019-10-27 21:48:09,318002,8.0
2019-10-27 21:48:10,319001,8.0
2019-10-27 21:48:11,320001,8.0
2019-10-27 21:48:12,321002,8.0
2019-10-27 21:48:13,322001,8.0
2019-10-27 21:48:14,323001,8.0
2019-10-27 21:48:15,324002,8.0
2019-10-27 21:48:16,325001,8.0
2019-10-27 21:48:17,326001,8.0
2019-10-27 21:48:18,327002,8.0
2019-10-27 21:48:19,328001,8.0
2019-10-27 21:48:20,329001,8.0
2019-10-27 21:48:21,330002,8.0
2019-10-27 21:48:22,331001,8.0
2019-10-27 21:48:23,332001,8.0
2019-10-27 21:48:24,333002,8.0
2019-10-27 21:48:25,334001,8.0
2019-10-27 21:48:26,335001,8.0
2019-10-27 21:48:27,336002,8.0
2019-10-27 21:48:28,337001,8.0
2019-10-27 21:48:29,338002,8.0
2019-10-27 21:48:30,339001,8.0
2019-10-27 21:48:31,340001,8.0
2019-10-27 21:48:32,341002,8.0
2019-10-27 21:48:33,342001,8.0
2019-10-27 21:48:34,343001,8.0
2019-10-27 21:48:35,344002,8.0
2019-10-27 21:48:36,345001,8.0
2019-10-27 21:48:37,346002,8.0
2019-10-27 21:48:38,347004,8.0
2019-10-27 21:48:39,348002,8.0
2019-10-27 21:48:40,349001,8.0
2019-10-27 21:48:41,350001,8.0
2019-10-27 21:48:42,351001,8.0
2019-10-27 21:48:43,352001,8.0
2019-10-27 21:48:44,353002,8.0
2019-10-27 21:48:45,354001,8.0
2019-10-27 21:48:46,355001,8.0
2019-10-27 21:48:47,356002,8.0
2019-10-27 21:48:48,357001,8.0
2019-10-27 21:48:49,358002,8.0
2019-10-27 21:48:50,359001,8.0
2019-10-27 21:48:51,360001,8.0
2019-10-27 21:48:52,361002,8.0
2019-10-27 21:48:53,362001,8.0
2019-10-27 21:48:54,363001,8.0
2019-10-27 21:48:55,364002,8.0
2019-10-27 21:48:56,365001,8.0
2019-10-27 21:48:57,366002,8.0
2019-10-27 21:48:58,367001,8.0
2019-10-27 21:48:59,368001,8.0
2019-10-27 21:49:00,369002,8.0
2019-10-27 21:49:01,370001,8.0
2019-10-27 21:49:02,371001,8.0
2019-10-27 21:49:03,372002,8.0
2019-10-27 21:49:04,373001,8.0
2019-10-27 21:49:05,374001,8.0
2019-10-27 21:49:06,375001,8.0
2019-10-27 21:49:07,376001,8.0
2019-10-27 21:49:08,377002,8.0
2019-10-27 21:49:09,378001,8.0
2019-10-27 21:49:10,379001,8.0
2019-10-27 21:49:11,380002,8.0
2019-10-27 21:49:12,381001,8.0
2019-10-27 21:49:13,382002,8.0
2019-10-27 21:49:14,383001,8.0
2019-10-27 21:49:15,384001,8.0
2019-10-27 21:49:16,385002,8.0
2019-10-27 21:49:17,386002,8.0
2019-10-27 21:49:18,387002,8.0
2019-10-27 21:49:19,388002,8.0
2019-10-27 21:49:20,389001,8.0
2019-10-27 21:49:21,390001,8.0
2019-10-27 21:49:22,391002,8.0
2019-10-27 21:49:23,392001,8.0
2019-10-27 21:49:24,393001,8.0
2019-10-27 21:49:25,394002,8.0
2019-10-27 21:49:26,395001,8.0
2019-10-27 21:49:27,396002,8.0
2019-10-27 21:49:28,397001,8.0
2019-10-27 21:49:29,398003,8.0
2019-10-27 21:49:30,399001,8.0
2019-10-27 21:49:31,400002,8.0
2019-10-27 21:49:32,401001,8.0
2019-10-27 21:49:33,402001,8.0
2019-10-27 21:49:34,403001,8.0
2019-10-27 21:49:35,404001,8.0
2019-10-27 21:49:36,405001,8.0
2019-10-27 21:49:37,406001,8.0
2019-10-27 21:49:38,407002,8.0
2019-10-27 21:49:39,408001,8.0
2019-10-27 21:49:40,409001,8.0
2019-10-27 21:49:41,410001,8.0
2019-10-27 21:49:42,411002,8.0
2019-10-27 21:49:43,412002,8.0
2019-10-27 21:49:44,413001,8.0
2019-10-27 21:49:45,414002,8.0
2019-10-27 21:49:46,415001,8.0
2019-10-27 21:49:47,416001,8.0
2019-10-27 21:49:48,417002,8.0
2019-10-27 21:49:49,418001,8.0
2019-10-27 21:49:50,419002,8.0
2019-10-27 21:49:51,420001,8.0
2019-10-27 21:49:52,421001,8.0
2019-10-27 21:49:53,422001,8.0
2019-10-27 21:49:54,423002,8.0
2019-10-27 21:49:55,424001,8.0
2019-10-27 21:49:56,425001,8.0
2019-10-27 21:49:57,426002,8.0
