Timestamp,Milliseconds,Illuminance
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:04,4908037,80.0
2019-10-27 17:28:05,4909041,80.0
2019-10-27 17:28:11,4915797,80.0
2019-10-27 17:28:11,4915797,80.0
2019-10-27 17:28:11,4915797,80.0
2019-10-27 17:28:11,4915797,80.0
2019-10-27 17:28:11,4915797,80.0
2019-10-27 17:28:11,4915797,80.0
2019-10-27 17:28:11,4916019,80.0
2019-10-27 17:28:13,4917039,80.0
2019-10-27 17:28:14,4918038,80.0
2019-10-27 17:28:15,4919035,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:28:22,4926394,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969808,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
